city,population,population_year,population_date,source
Białogard,22035,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Aleksandrów Łódzki,21976,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sulejówek,21669,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Świebodzice,21534,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kluczbork,21470,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szczytno,21423,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Płońsk,21353,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ostrów Mazowiecka,21324,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Goleniów,21286,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Józefów,21175,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Polkowice,20968,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bartoszyce,20919,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łaziska Górne,20883,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sandomierz,20834,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Grajewo,20621,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zambrów,20580,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Świebodzin,20565,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Mrągowo,20158,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Jawor,20134,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wieluń,19953,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nowa Ruda,19923,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rydułtowy,19889,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Działdowo,19859,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gostyń,19588,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gryfino,19454,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lubartów,19445,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Rawicz,19369,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Konstantynów Łódzki,19279,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lubań,19135,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pułtusk,18943,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Koło,18923,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bieruń,18676,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Hajnówka,18560,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Opoczno,18520,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Prudnik,18496,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łomianki,18190,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Trzebinia,18187,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sokołów Podlaski,18156,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Zielonka,18031,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Szamotuły,17994,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Andrychów,17941,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Złotów,17904,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łańcut,17776,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ozorków,17748,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Chełmno,17721,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Myślenice,17643,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kęty,17479,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Niepołomice,17450,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Tomaszów Lubelski,17435,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kostrzyn nad Odrą,17335,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Łęczna,17290,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Garwolin,17274,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pisz,17260,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pyskowice,17203,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Końskie,17036,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Oborniki,16994,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Krasnystaw,16961,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Chodzież,16915,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sokółka,16830,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Wadowice,16825,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Kamienna Góra,16742,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Nakło nad Notecią,16738,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Grójec,16720,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Konstancin-Jeziorn,16719,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Namysłów,16713,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Radlin,16650,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Strzelce Opolskie,16644,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Sierpc,16640,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Gostynin,16566,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Międzyrzecz,16478,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Pleszew,16387,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Milanówek,16300,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Trzcianka,16280,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Lędziny,16221,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ożarów Mazowiecki,16209,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Przasnysz,16105,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Bytów,16089,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Słubice,16040,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Radzionków,15946,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ropczyce,15863,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
Ustroń,15809,2025,2025-06-30,GUS Ludnosc stan i struktura 2025 tabela11
